iter	LAI
0	5.3889
1	5.38127
2	5.37849
3	5.37096
4	5.3672
5	5.35925
6	5.35112
7	5.3456
8	5.33935
9	5.3315
10	5.32363
11	5.31555
12	5.30771
13	5.2998
14	5.29195
15	5.28604
16	5.27831
17	5.27043
18	5.26258
19	5.25657
20	5.26742
21	5.26033
22	5.27048
23	5.2685
24	5.26055
25	5.25276
26	5.24452
27	5.23651
28	5.22775
29	5.23667
30	5.22871
31	5.23464
32	5.23906
33	5.23122
34	5.22401
35	5.21675
36	5.20891
37	5.20142
38	5.19332
39	5.20335
40	5.2011
41	5.19362
42	5.18602
43	5.18695
44	5.18764
45	5.18273
46	5.17543
47	5.16634
48	5.15808
49	5.14985
50	5.14189
51	5.13417
52	5.12614
53	5.1338
54	5.12619
55	5.134
56	5.13264
57	5.12442
58	5.13294
59	5.13328
60	5.12505
61	5.11684
62	5.10897
63	5.11825
64	5.1143
65	5.10617
66	5.09816
67	5.10602
68	5.10093
69	5.09665
70	5.08885
71	5.07937
72	5.08493
73	5.09473
74	5.10098
75	5.10695
76	5.0984
77	5.09013
78	5.08157
79	5.08361
80	5.07637
81	5.0682
82	5.06897
83	5.06105
84	5.05633
85	5.04808
86	5.04633
87	5.05331
88	5.04494
89	5.03668
90	5.0441
91	5.0363
92	5.02807
93	5.03161
94	5.0238
95	5.03079
96	5.03415
97	5.02561
98	5.0178
99	5.0172
100	5.00906
101	5.00076
102	4.99404
103	4.9977
104	4.9897
105	4.99703
106	4.98887
107	4.98203
108	4.98532
109	4.97941
110	4.98572
111	4.97894
112	4.97571
113	4.96829
114	4.96015
115	4.95683
116	4.94844
117	4.94016
118	4.93202
119	4.93256
120	4.93881
121	4.93078
122	4.9231
123	4.9271
124	4.91887
125	4.9106
126	4.90252
127	4.90582
128	4.89875
129	4.89041
130	4.88224
131	4.87525
132	4.86698
133	4.85909
134	4.85073
135	4.84257
136	4.83507
137	4.8366
138	4.84393
139	4.83302
140	4.82515
141	4.81691
142	4.80892
143	4.80082
144	4.79419
145	4.79244
146	4.78459
147	4.78848
148	4.78144
149	4.77425
150	4.77769
151	4.77007
152	4.7747
153	4.77969
154	4.7768
155	4.78262
156	4.78269
157	4.77923
158	4.76816
159	4.77104
160	4.7639
161	4.7697
162	4.7754
163	4.76806
164	4.76511
165	4.76869
166	4.7609
167	4.76518
168	4.77071
169	4.76663
170	4.77275
171	4.77884
172	4.78457
173	4.78978
174	4.78555
175	4.77768
176	4.78396
177	4.77714
178	4.78173
179	4.78773
180	4.79403
181	4.79961
182	4.80697
