iter	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	h_33	h_34	h_35	h_36	h_37	h_38	h_39	h_40	h_41	h_42	h_43	h_44	h_45	h_46	h_47	h_48	h_49	h_50	h_51	h_52	h_53	h_54	h_55	h_56	h_57	h_58	h_59	h_60	h_61	h_62	h_63	h_64	h_65	h_66	h_67	h_68	h_69	h_70
0	0.00653201	0.0177259	0.0249765	0.0378671	0.0525382	0.0683733	0.0787363	0.0825765	0.0847486	0.0866492	0.0930997	0.0971348	0.0967272	0.0960521	0.102707	0.103825	0.113213	0.131344	0.136296	0.15499	0.155224	0.153767	0.14711	0.143003	0.129992	0.117142	0.101745	0.0929453	0.0786922	0.0664695	0.0530434	0.0484436	0.0398219	0.0312659	0.0275074	0.0218812	0.0156449	0.00775853	0.00667733	0.00374988	0.00172553	0.00101768	0.000867374	0.000867374	0.0003261	0.0003261	0.0003261	4.43596e-05	4.43596e-05	4.43596e-05	4.43596e-05	4.43596e-05	4.43596e-05	4.43596e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0.0065582	0.0177226	0.0250029	0.0378951	0.052557	0.0683945	0.0785729	0.0825316	0.0849139	0.0866737	0.0932367	0.0971638	0.0967577	0.0960827	0.102738	0.103856	0.113248	0.131391	0.136344	0.155043	0.155276	0.153829	0.14717	0.143077	0.13008	0.117247	0.10187	0.0931176	0.0788758	0.0666693	0.0532393	0.0486501	0.0400244	0.0314437	0.0276631	0.0219992	0.0157493	0.00781997	0.0067329	0.00379427	0.00174664	0.00103	0.000878049	0.000878049	0.000329947	0.000329947	0.000329947	4.49151e-05	4.49151e-05	4.49151e-05	4.49151e-05	4.49151e-05	4.49151e-05	4.49151e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0.0065393	0.0177393	0.0249726	0.0379346	0.0525455	0.0684318	0.0785267	0.0826163	0.0849858	0.0866977	0.0931828	0.0971981	0.0967935	0.096018	0.10281	0.103928	0.113324	0.131478	0.136391	0.155095	0.155327	0.153889	0.147228	0.143149	0.130168	0.117351	0.101994	0.0932887	0.0790581	0.0668678	0.053434	0.0488553	0.0402257	0.0316205	0.0278178	0.0221164	0.0158532	0.00788104	0.00678814	0.0038384	0.00176765	0.00104225	0.000888661	0.000888661	0.000333771	0.000333771	0.000333771	4.54683e-05	4.54683e-05	4.54683e-05	4.54683e-05	4.54683e-05	4.54683e-05	4.54683e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0.00653596	0.0177399	0.0249302	0.0378926	0.0525813	0.0685043	0.0785552	0.0825374	0.0850088	0.0866852	0.0932569	0.0971737	0.0967541	0.0958316	0.102576	0.103693	0.113355	0.131311	0.136437	0.155145	0.155377	0.153948	0.147286	0.14322	0.130254	0.117454	0.102117	0.0934585	0.0792391	0.0670651	0.0536276	0.0490592	0.0404258	0.0317963	0.0279716	0.022233	0.0159564	0.00794175	0.00684305	0.00388228	0.00178855	0.00105442	0.000899208	0.000899208	0.000337573	0.000337573	0.000337573	4.60193e-05	4.60193e-05	4.60193e-05	4.60193e-05	4.60193e-05	4.60193e-05	4.60193e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0.00652836	0.0177514	0.0249504	0.0379156	0.0525991	0.0685013	0.0785512	0.0825686	0.0850314	0.0867082	0.0932834	0.097201	0.0967828	0.0958604	0.102605	0.103722	0.113388	0.131354	0.136481	0.155195	0.155179	0.154048	0.147384	0.143332	0.13038	0.117597	0.10228	0.093627	0.0794188	0.0672609	0.0538198	0.0492618	0.0406247	0.0319709	0.0281244	0.0223488	0.0160591	0.00800209	0.00689762	0.0039259	0.00180934	0.00106652	0.000909691	0.000909691	0.000341352	0.000341352	0.000341352	4.65681e-05	4.65681e-05	4.65681e-05	4.65681e-05	4.65681e-05	4.65681e-05	4.65681e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0.00653177	0.0177729	0.0249586	0.0378611	0.0526217	0.0685211	0.07857	0.0825882	0.0850537	0.0867309	0.0933096	0.0972207	0.0968039	0.0958813	0.102627	0.10375	0.113421	0.131397	0.136525	0.155244	0.155227	0.154105	0.147439	0.143401	0.130465	0.117698	0.1024	0.0937942	0.0795971	0.0674555	0.0540108	0.0494631	0.0408223	0.0321444	0.0282763	0.0224639	0.0161611	0.00806206	0.00695186	0.00396926	0.00183002	0.00107855	0.000920109	0.000920109	0.000345109	0.000345109	0.000345109	4.71145e-05	4.71145e-05	4.71145e-05	4.71145e-05	4.71145e-05	4.71145e-05	4.71145e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0.00652768	0.0177783	0.0249442	0.0379217	0.0526265	0.0684553	0.0784831	0.0825873	0.0850864	0.0867246	0.0933068	0.0972468	0.0968314	0.0959089	0.102451	0.103829	0.113503	0.13149	0.136619	0.155291	0.155274	0.15409	0.147506	0.143481	0.13056	0.11781	0.102531	0.0939719	0.0797741	0.0676487	0.0542005	0.049663	0.0410186	0.0323169	0.0284271	0.0225782	0.0162626	0.00812167	0.00700576	0.00401235	0.00185059	0.0010905	0.000930461	0.000930461	0.000348844	0.000348844	0.000348844	4.76587e-05	4.76587e-05	4.76587e-05	4.76587e-05	4.76587e-05	4.76587e-05	4.76587e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0.0065286	0.0177721	0.0249521	0.037967	0.052654	0.0684741	0.0784758	0.0825509	0.0851007	0.0867792	0.0933049	0.0973148	0.0967859	0.0956249	0.102466	0.103881	0.113729	0.131591	0.136661	0.155337	0.15532	0.154144	0.14756	0.143548	0.130642	0.117909	0.10265	0.0941365	0.0799496	0.0678405	0.054389	0.0498616	0.0412137	0.0324883	0.028577	0.0226918	0.0163634	0.0081809	0.00705932	0.00405519	0.00187106	0.00110238	0.000940748	0.000940748	0.000352557	0.000352557	0.000352557	4.82006e-05	4.82006e-05	4.82006e-05	4.82006e-05	4.82006e-05	4.82006e-05	4.82006e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0.00652462	0.0177687	0.0249628	0.0379838	0.0526615	0.0684834	0.0785108	0.0825689	0.0851214	0.0868003	0.0933293	0.0973397	0.0968121	0.0956511	0.102493	0.103908	0.113759	0.131631	0.136702	0.155383	0.155365	0.154197	0.147612	0.143614	0.130723	0.118007	0.102767	0.0942998	0.0801238	0.068031	0.0545762	0.0500588	0.0414075	0.0326585	0.0287259	0.0228047	0.0164637	0.00823976	0.00711254	0.00409775	0.00189141	0.00111418	0.000950967	0.000950967	0.000356246	0.000356246	0.000356246	4.87401e-05	4.87401e-05	4.87401e-05	4.87401e-05	4.87401e-05	4.87401e-05	4.87401e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0.00651162	0.0177511	0.0249076	0.0380249	0.0526279	0.0685434	0.0785293	0.0826026	0.0851624	0.0868208	0.093353	0.0971966	0.0968377	0.0956765	0.102519	0.1041	0.113788	0.13167	0.136742	0.155427	0.155408	0.154248	0.147663	0.143679	0.130803	0.118104	0.102883	0.0944616	0.0802966	0.06822	0.054762	0.0502547	0.0416	0.0328276	0.0288738	0.0229169	0.0165633	0.00829824	0.00716542	0.00414005	0.00191165	0.0011259	0.00096112	0.00096112	0.000359913	0.000359913	0.000359913	4.92772e-05	4.92772e-05	4.92772e-05	4.92772e-05	4.92772e-05	4.92772e-05	4.92772e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
