iter	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	h_33	h_34	h_35	h_36	h_37	h_38	h_39	h_40	h_41	h_42	h_43	h_44	h_45	h_46	h_47	h_48	h_49	h_50	h_51	h_52	h_53	h_54	h_55	h_56	h_57	h_58	h_59	h_60	h_61	h_62	h_63	h_64	h_65	h_66	h_67	h_68	h_69	h_70
0	0.000457798	0.00195338	0.00229016	0.00266758	0.00336001	0.00434718	0.00491652	0.00512895	0.0053972	0.00557027	0.00609981	0.00633149	0.00629845	0.0061687	0.00638771	0.00634154	0.00687131	0.00796256	0.00826971	0.0093821	0.00931617	0.00925957	0.00880631	0.00872257	0.00823885	0.00779927	0.00727398	0.00744263	0.00680939	0.0066211	0.00574784	0.00554372	0.00493951	0.00407792	0.00356304	0.00278289	0.00226458	0.00116812	0.00103945	0.000736535	0.000349858	0.000211892	0.000200441	0.000200441	6.14806e-05	6.14806e-05	6.14806e-05	9.34526e-06	9.34526e-06	9.34526e-06	9.34526e-06	9.34526e-06	9.34526e-06	9.34526e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0.000463821	0.00196434	0.00230401	0.00268398	0.0033685	0.00435468	0.00490896	0.00511663	0.00540105	0.00556112	0.00609685	0.00631	0.00626973	0.00613473	0.00634032	0.00627994	0.00680298	0.00787502	0.00818	0.00927686	0.00922075	0.00915798	0.00870999	0.00863341	0.00816996	0.00774413	0.00722144	0.0073724	0.00673013	0.00656676	0.00568964	0.00546838	0.00486397	0.00400194	0.00349795	0.00272996	0.00222744	0.00114269	0.00101542	0.00071232	0.000338356	0.000204926	0.000193851	0.000193851	5.94593e-05	5.94593e-05	5.94593e-05	9.03802e-06	9.03802e-06	9.03802e-06	9.03802e-06	9.03802e-06	9.03802e-06	9.03802e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0.000452879	0.00193096	0.00223871	0.00260072	0.00325893	0.00421958	0.00475067	0.00495785	0.00523284	0.00538669	0.00590321	0.00611436	0.00607436	0.00593728	0.00613894	0.00607913	0.00658327	0.00761944	0.00791252	0.00897675	0.00892225	0.00886105	0.00842823	0.00835417	0.00790591	0.00749023	0.00698453	0.00713053	0.00650886	0.00635086	0.00550258	0.00528859	0.00470406	0.00387036	0.00338295	0.00264021	0.00215421	0.00110512	0.000982032	0.000688902	0.000327232	0.000198189	0.000187478	0.000187478	5.75045e-05	5.75045e-05	5.75045e-05	8.74088e-06	8.74088e-06	8.74088e-06	8.74088e-06	8.74088e-06	8.74088e-06	8.74088e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0.000457132	0.00195106	0.00225054	0.00264129	0.00328762	0.00425751	0.00478678	0.00498029	0.00526074	0.00541024	0.00592964	0.0061286	0.00608024	0.00593178	0.00612148	0.00604313	0.00656363	0.00757005	0.00787442	0.0089318	0.0088938	0.00883475	0.00841678	0.00835932	0.0079215	0.00751465	0.0070051	0.00711894	0.00647651	0.00634283	0.00548691	0.00525986	0.00467226	0.00383406	0.00335186	0.00261809	0.00214184	0.0011048	0.00097788	0.00067168	0.000321479	0.000196678	0.000186319	0.000186319	6.06192e-05	6.06192e-05	6.06192e-05	8.45351e-06	8.45351e-06	8.45351e-06	8.45351e-06	8.45351e-06	8.45351e-06	8.45351e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0.000446166	0.00191078	0.00218647	0.00255765	0.00318108	0.00411714	0.0046293	0.00482016	0.00509063	0.00523557	0.00573851	0.00593031	0.00588303	0.00573801	0.00592087	0.00584502	0.00634797	0.0073213	0.00761566	0.00863822	0.00858169	0.0085478	0.00814358	0.00808801	0.00766458	0.0072711	0.00677812	0.00688489	0.00626358	0.0061343	0.00530652	0.00508693	0.00451865	0.00370801	0.00324167	0.00253201	0.00207142	0.00106848	0.000945731	0.000649597	0.00031091	0.000190212	0.000180194	0.000180194	5.86262e-05	5.86262e-05	5.86262e-05	8.17558e-06	8.17558e-06	8.17558e-06	8.17558e-06	8.17558e-06	8.17558e-06	8.17558e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0.000433509	0.00186774	0.00211973	0.00247114	0.00307967	0.00398264	0.00447809	0.00466242	0.00492416	0.00506484	0.00555122	0.00573661	0.0056906	0.00554965	0.00572649	0.00565323	0.00613933	0.00708066	0.00736535	0.00835422	0.00829955	0.00826678	0.00787584	0.0078221	0.0074126	0.00703205	0.00655528	0.00665854	0.00605766	0.00593263	0.00513206	0.00491969	0.00437009	0.00358611	0.00313509	0.00244877	0.00200332	0.00103335	0.000914638	0.00062824	0.000300688	0.000183958	0.000174269	0.000174269	5.66988e-05	5.66988e-05	5.66988e-05	7.9068e-06	7.9068e-06	7.9068e-06	7.9068e-06	7.9068e-06	7.9068e-06	7.9068e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0.000436694	0.00188024	0.00212432	0.00247332	0.00305969	0.00395116	0.00444506	0.00462876	0.0048949	0.00503456	0.00552037	0.00569956	0.00564554	0.00549528	0.00564492	0.00557752	0.00604726	0.00696694	0.00724329	0.00820116	0.00814454	0.00808183	0.00770684	0.00764127	0.00722991	0.00685825	0.00638425	0.00648172	0.00588229	0.00576159	0.00498443	0.00478717	0.00424152	0.00348221	0.00304602	0.00238226	0.00195146	0.00100992	0.000895106	0.000607586	0.000290803	0.00017791	0.00016854	0.00016854	5.48347e-05	5.48347e-05	5.48347e-05	7.64685e-06	7.64685e-06	7.64685e-06	7.64685e-06	7.64685e-06	7.64685e-06	7.64685e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0.000437783	0.00188635	0.00211419	0.00243894	0.00300536	0.00387922	0.00437085	0.00455606	0.00482475	0.0049667	0.00544459	0.00561523	0.00555689	0.005388	0.00554177	0.00547224	0.0059281	0.00681619	0.00706866	0.00799521	0.00793163	0.00786112	0.00749578	0.00742228	0.00701959	0.00665622	0.00619402	0.00628626	0.00569662	0.00557805	0.00482541	0.00463463	0.00410208	0.00336772	0.00294588	0.00230394	0.0018873	0.000976716	0.000865678	0.000587611	0.000281242	0.000172061	0.000162999	0.000162999	5.30319e-05	5.30319e-05	5.30319e-05	7.39544e-06	7.39544e-06	7.39544e-06	7.39544e-06	7.39544e-06	7.39544e-06	7.39544e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0.000424742	0.00182828	0.00204654	0.00235893	0.00290596	0.00375109	0.00422842	0.00440628	0.00466614	0.00480343	0.00526559	0.00543062	0.00537427	0.00521093	0.00535964	0.0052924	0.0057332	0.00659209	0.00683626	0.00773235	0.00767085	0.00760267	0.00724934	0.00717826	0.0067888	0.00643738	0.00599038	0.00607959	0.00550934	0.00539466	0.00466676	0.00448226	0.00396721	0.003257	0.00284902	0.0022282	0.00182525	0.000944605	0.000837217	0.000568292	0.000271996	0.000166404	0.00015764	0.00015764	5.12884e-05	5.12884e-05	5.12884e-05	7.15231e-06	7.15231e-06	7.15231e-06	7.15231e-06	7.15231e-06	7.15231e-06	7.15231e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0.00041438	0.00179298	0.00199096	0.0022842	0.00281031	0.00363777	0.00409489	0.00426765	0.00452079	0.00465409	0.00510284	0.00525868	0.00520702	0.00504656	0.00518776	0.00512556	0.00554621	0.00637621	0.00661231	0.00748265	0.00742295	0.00735676	0.00701556	0.00694682	0.00657011	0.00622644	0.00579395	0.00588022	0.00532821	0.00521731	0.00451334	0.0043349	0.00383678	0.00314992	0.00275536	0.00215494	0.00176524	0.00091355	0.000809692	0.000549608	0.000263053	0.000160934	0.000152457	0.000152457	4.96022e-05	4.96022e-05	4.96022e-05	6.91716e-06	6.91716e-06	6.91716e-06	6.91716e-06	6.91716e-06	6.91716e-06	6.91716e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
