iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
0	5086.75	442.25	70.75	24.6807	20.7464	277640	0.0874063	0.0259339	0	0.0243412	0.00602352	0.00525103
1	5093.25	442.25	70.75	24.6823	20.7473	277654	0.0959967	0.0302647	0	0.0254804	0.00632371	0.00525653
2	5096.5	442.25	70.75	24.6836	20.7481	277665	0.0850632	0.0236405	0	0.0247894	0.00615157	0.00526193
3	5099.25	442	70.75	24.6791	20.7447	277649	0.0999807	0.0331304	0	0.0254151	0.0063224	0.00526479
4	5102.5	442	70.75	24.6799	20.7453	277658	0.0779289	0.0208735	0	0.023253	0.00577836	0.00527003
5	5110.25	441.75	70.75	24.6775	20.7426	277644	0.0651719	0.0145261	0	0.0214829	0.00535423	0.00527513
6	5113.25	441.75	70.75	24.6771	20.7437	277652	0.0944492	0.031066	0	0.024157	0.00602362	0.00527982
7	5113.75	441.5	71	24.6767	20.7426	277655	0.0968468	0.0322975	0	0.0244595	0.00610822	0.00528468
8	5115.75	441.5	71	24.6767	20.7426	277656	0.0426385	0.00263428	0	0.0198942	0.00499647	0.00528976
9	5115.5	441.5	71	24.677	20.7433	277665	0.0817817	0.0230486	0	0.0235718	0.00590022	0.00529471
10	5115	441.5	71	24.6761	20.7434	277663	0.0480965	0.00530235	0	0.0199789	0.00503074	0.00529958
11	5115.25	441.5	71	24.6762	20.7438	277667	0.0595746	0.0115163	0	0.0208407	0.00524383	0.00530448
12	5117	441.5	71	24.6766	20.7444	277675	0.0741381	0.0203497	0	0.0217225	0.00546608	0.00530919
13	5117.25	441.5	71	24.6781	20.7453	277688	0.085268	0.0268099	0	0.022625	0.00569805	0.005314
14	5118.75	441.75	71	24.6797	20.7482	277703	0.0917706	0.0300051	0	0.0235477	0.00593997	0.00531879
15	5118.5	441.75	71	24.6808	20.749	277714	0.0797404	0.0239362	0	0.0219349	0.00554229	0.00532348
16	5118.5	441.75	71	24.6818	20.7496	277724	0.0747691	0.0211715	0	0.0214376	0.00542785	0.00532805
17	5119	441.5	71	24.6804	20.7485	277726	0.0812126	0.0252671	0	0.021709	0.005503	0.00533254
18	5121.5	441.5	71	24.6805	20.7496	277735	0.0939448	0.0319341	0	0.023241	0.0058974	0.00533688
19	5124	441.5	71	24.682	20.7504	277748	0.104766	0.0383611	0	0.0240169	0.00610521	0.0053414
20	5125.5	441.5	71	24.6836	20.7514	277762	0.0900855	0.0294621	0	0.0230861	0.00585741	0.00534581
21	5125.5	441.25	71	24.6816	20.7497	277761	0.107459	0.038318	0	0.0253309	0.00645415	0.00534914
22	5124.25	441.25	71	24.683	20.7505	277774	0.0936239	0.030768	0	0.0238867	0.00606475	0.00535345
23	5125.75	441.5	71	24.6842	20.7533	277786	0.0832623	0.0254039	0	0.0225944	0.00573837	0.00535759
24	5128	441.5	71	24.6853	20.7539	277796	0.0735602	0.0198002	0	0.0217813	0.00554336	0.00536175
25	5130.5	441.75	71	24.6863	20.7565	277805	0.0701178	0.0176685	0	0.0215928	0.00550503	0.00536585
26	5130.5	441.75	71	24.6866	20.7569	277810	0.063459	0.0137359	0	0.0211016	0.00539122	0.00536978
27	5132	441.75	71	24.6861	20.7578	277809	0.0826497	0.025382	0	0.0222885	0.00569704	0.00537257
28	5131.5	441.75	71	24.6874	20.7586	277822	0.0999862	0.0352318	0	0.0238368	0.00610522	0.0053765
29	5135.5	441.5	71	24.6811	20.7515	277767	0.089088	0.027114	0	0.024186	0.00619012	0.00537955
30	5134	441.5	71	24.6817	20.7522	277777	0.0959661	0.0319612	0	0.0241491	0.00619057	0.00538309
31	5136.25	441.5	71	24.6829	20.753	277788	0.0924916	0.0304532	0	0.0235207	0.00602206	0.00538689
32	5135.5	441.5	71	24.6843	20.7537	277801	0.0836437	0.0258742	0	0.0224229	0.00573753	0.00539058
33	5137	441.5	71	24.6858	20.7546	277814	0.0845019	0.0262851	0	0.022544	0.00577786	0.00539421
34	5138	441.5	71	24.6875	20.7556	277829	0.0869938	0.0280679	0	0.0225104	0.00577774	0.0053978
35	5138.75	441.5	71	24.6887	20.7563	277839	0.0746032	0.0218849	0	0.0207972	0.00535295	0.00540136
36	5139.25	441.5	71	24.6903	20.7572	277854	0.086275	0.0276508	0	0.0224403	0.0057758	0.00540485
37	5139.75	441.5	71	24.691	20.7576	277860	0.062016	0.0136422	0	0.0204352	0.00527708	0.00540829
38	5142.25	441.5	71	24.692	20.7585	277872	0.101993	0.0368862	0	0.0236292	0.0061019	0.00541166
39	5144	441.5	70.75	24.6447	20.7124	277577	0.0973258	0.0341039	0	0.0233086	0.00600546	0.00540682
40	5145.25	441.5	70.75	24.6461	20.7133	277590	0.0858856	0.0274575	0	0.0223868	0.0057616	0.00541008
41	5156.75	441.5	70.75	24.6472	20.7142	277601	0.0846633	0.0264167	0	0.0225086	0.00580235	0.00541339
42	5158.25	441.25	70.75	24.6438	20.7103	277586	0.0912154	0.0303612	0	0.022934	0.00592317	0.00541467
43	5158.5	441.5	70.75	24.645	20.7131	277598	0.0926124	0.0317905	0	0.0226252	0.00584227	0.00541777
44	5160	441.5	70.75	24.6465	20.714	277612	0.0898203	0.0293837	0	0.0229357	0.00592452	0.00542086
45	5161.75	441.5	70.75	24.6477	20.7149	277625	0.087639	0.0274296	0	0.0232255	0.00600772	0.00542371
46	5162.75	441.5	70.75	24.6436	20.7133	277590	0.085167	0.0262125	0	0.0228708	0.00592327	0.00542525
47	5163.5	441.5	70.75	24.6433	20.7136	277593	0.054467	0.00909858	0	0.019969	0.00519127	0.00542815
48	5167	441.5	70.75	24.6416	20.7139	277590	0.0567057	0.00983277	0	0.0205198	0.00533496	0.00543091
49	5167.5	441.5	70.75	24.6418	20.7146	277599	0.075458	0.0211447	0	0.0216813	0.00563661	0.00543361
50	5171.25	441.5	70.75	24.6426	20.7154	277609	0.0820054	0.0250904	0	0.0221031	0.00575253	0.00543637
51	5172	441.5	70.75	24.643	20.7162	277618	0.0754048	0.0211905	0	0.0216104	0.00563172	0.00543899
52	5174.5	441.5	70.75	24.6443	20.7169	277630	0.0969751	0.0333638	0	0.023589	0.00615976	0.00544169
53	5178.75	441.5	70.75	24.6459	20.7177	277643	0.082455	0.0256901	0	0.0219005	0.0057083	0.00544433
54	5180	441.5	70.75	24.6462	20.7185	277650	0.0968143	0.0327967	0	0.0238945	0.00624606	0.00544693
55	5181.25	441.5	70.75	24.6475	20.7193	277661	0.089104	0.0285393	0	0.0231278	0.00603409	0.00544947
56	5181.25	441.5	70.75	24.6485	20.7199	277671	0.0706679	0.0196583	0	0.0203844	0.00532675	0.00545194
57	5182	441.5	70.75	24.6499	20.7206	277683	0.0981227	0.0337431	0	0.023868	0.00624641	0.00545442
58	5180.75	441.25	70.75	24.6485	20.7188	277668	0.0919278	0.0298466	0	0.0235777	0.00616102	0.00545677
59	5184.75	441.25	70.75	24.6484	20.719	277670	0.0573403	0.0104283	0	0.0203715	0.00532693	0.00545906
60	5185.5	441.25	70.75	24.6493	20.7196	277678	0.0660565	0.0160759	0	0.0206314	0.00540064	0.00546133
61	5187.5	441.25	70.75	24.6502	20.7203	277688	0.0743085	0.0205766	0	0.0214899	0.00562801	0.00546346
62	5188.25	441.25	70.75	24.6516	20.7211	277700	0.100997	0.0351618	0	0.0242539	0.00637293	0.00546573
63	5191	441.25	70.75	24.6531	20.7219	277713	0.0882818	0.0287828	0	0.0225513	0.00590593	0.00546792
64	5190.5	441.25	70.75	24.6539	20.7225	277721	0.0665435	0.0166901	0	0.0204256	0.00536009	0.00547
65	5190.5	441.25	70.75	24.6549	20.7231	277731	0.0706963	0.0194238	0	0.0205385	0.00539571	0.00547209
66	5193.25	441.25	70.75	24.6562	20.7238	277742	0.0955502	0.032839	0	0.0232341	0.00610956	0.00547419
67	5195.5	441.25	70.75	24.6577	20.7248	277756	0.0869105	0.0283603	0	0.0221747	0.00582096	0.0054762
68	5196.75	441.25	70.75	24.6592	20.7256	277769	0.0852892	0.0274792	0	0.0219971	0.0057807	0.00547817
69	5198.75	441.25	70.75	24.6597	20.7265	277778	0.083193	0.0262677	0	0.0218214	0.00573906	0.00547953
70	5200.5	441	70.75	24.6571	20.7232	277769	0.0799569	0.0244977	0	0.0214804	0.00565686	0.00547955
71	5203	441.25	70.75	24.6581	20.7259	277778	0.0878713	0.0287379	0	0.0223554	0.00589367	0.00548137
72	5209.75	441.25	70.75	24.6598	20.7267	277791	0.10307	0.0368157	0	0.0240931	0.00636134	0.00548334
73	5209.75	441.25	71	24.6611	20.7274	277803	0.0955003	0.0324161	0	0.0234935	0.00618832	0.00548511
74	5209	441.25	71	24.6613	20.7282	277811	0.0969238	0.0326875	0	0.0239877	0.0063189	0.00548661
75	5210	441	71	24.6602	20.7267	277809	0.0728432	0.020131	0	0.0210792	0.0055396	0.00548795
76	5210.75	441	71	24.6608	20.7271	277815	0.059862	0.0126146	0	0.0200225	0.00527761	0.00548961
77	5212.75	440.75	71	24.6592	20.7254	277810	0.0591255	0.0107028	0	0.0210113	0.00553932	0.00549078
78	5211.25	440.75	71	24.6576	20.7262	277805	0.0913146	0.0295829	0	0.0234165	0.00618664	0.00549209
79	5210.75	441	71	24.659	20.729	277817	0.0822002	0.0254693	0	0.0218786	0.00577283	0.00549367
80	5213.75	441	71	24.66	20.7295	277825	0.065274	0.0158627	0	0.0203651	0.00538517	0.00549521
81	5214.25	441	71	24.6596	20.7303	277829	0.0897275	0.0301482	0	0.0222678	0.00588929	0.00549665
82	5212.75	441	71	24.6605	20.731	277840	0.0792085	0.0232465	0	0.0219604	0.0058078	0.00549792
83	5214.5	441	71	24.662	20.7319	277853	0.0848566	0.0263411	0	0.0225359	0.00596873	0.00549937
84	5213.25	441	71	24.6602	20.7324	277852	0.0682486	0.0172083	0	0.0208576	0.00552791	0.00550045
85	5216	441	71	24.6611	20.7331	277861	0.0830431	0.0251534	0	0.022473	0.00596128	0.00550172
86	5216.75	441	71	24.6623	20.7338	277872	0.0946734	0.0319342	0	0.02339	0.00621307	0.00550306
